24:d3:f2:a7:b3:cd,b4:74:9f:ba:83:34,b0:89:00:74:7c:84,9c:d6:43:cb:23:c0,30:99:35:90:32:9f,44:fb:5a:d2:d0:61,d8:0d:17:db:be:92,10:10:81:ad:c4:92,f4:e3:fb:90:3a:a8,indoor,roomNum
,,,,,,,//Mobile Tawfik,,,
-73,-42,-54,-61,-100,-100,-100,-100,-100,1,1
-93,-54,-78,-60,-79,-85,-100,-100,-100,1,1
-75,-50,-69,-72,-100,-100,-100,-100,-100,1,1
-83,-47,-68,-70,-82,-100,-100,-100,-100,1,1
-70,-56,-54,-55,-89,-100,-100,-100,-92,1,1
-76,-56,-84,-54,-79,-85,-100,-100,-100,1,1
-77,-54,-73,-69,-81,-89,-100,-100,-100,1,1
-78,-53,-69,-57,-100,-100,-100,-100,-100,1,1
-69,-46,-55,-70,-80,-100,-100,-100,-100,1,1
-78,-50,-63,-61,-79,-79,-100,-100,-100,1,1
-76,-47,-70,-59,-79,-100,-93,-100,-92,1,1
-77,-62,-73,-100,-70,-100,-100,-100,-100,1,1
-70,-69,-74,-75,-72,-71,-100,-100,-100,1,1
-80,-79,-82,-100,-73,-68,-100,-100,-100,1,1
-67,-63,-76,-78,-66,-81,-100,-100,-100,1,1
-78,-77,-85,-81,-69,-71,-100,-100,-100,1,1
-69,-83,-100,-79,-58,-71,-100,-100,-100,1,1
-72,-100,-86,-100,-70,-64,-100,-100,-100,1,1
