24:d3:f2:a7:b3:cd,b4:74:9f:ba:83:34,b0:89:00:74:7c:84,9c:d6:43:cb:23:c0,30:99:35:90:32:9f,44:fb:5a:d2:d0:61,d8:0d:17:db:be:92,10:10:81:ad:c4:92,f4:e3:fb:90:3a:a8,indoor,roomNum
-77,-59,-73,-43,-59,-65,-87,-85,-86,1,2
-75,-61,-74,-41,-56,-66,-92,-100,-95,1,2
-75,-61,-72,-39,-57,-67,-94,-100,-89,1,2
-76,-61,-71,-41,-56,-66,-90,-100,-79,1,2
-76,-64,-74,-40,-56,-65,-88,-100,-81,1,2
-76,-60,-75,-40,-56,-64,-100,-100,-80,1,2
-76,-62,-73,-40,-56,-62,-86,-91,-77,1,2
-100,-61,-74,-40,-56,-71,-100,-100,-79,1,2
-76,-61,-75,-40,-56,-71,-91,-100,-78,1,2
-76,-61,-73,-40,-59,-64,-82,-100,-79,1,2
-76,-62,-72,-40,-57,-65,-94,-79,-78,1,2
-76,-63,-72,-40,-56,-65,-86,-84,-78,1,2
-76,-62,-73,-40,-56,-64,-90,-81,-78,1,2
-76,-61,-74,-40,-56,-65,-88,-100,-79,1,2
-76,-60,-73,-40,-56,-64,-100,-85,-80,1,2
-76,-60,-73,-40,-59,-70,-100,-81,-79,1,2
-76,-60,-71,-41,-56,-66,-100,-77,-77,1,2
-89,-61,-72,-39,-59,-69,-89,-86,-82,1,2
-76,-61,-73,-41,-100,-64,-100,-84,-81,1,2
-76,-61,-72,-37,-56,-64,-100,-100,-83,1,2
-76,-61,-72,-38,-59,-65,-94,-81,-77,1,2
-77,-62,-72,-39,-57,-68,-88,-88,-78,1,2
-75,-61,-73,-41,-56,-78,-100,-85,-80,1,2
-76,-61,-73,-40,-56,-69,-90,-80,-81,1,2
-83,-64,-67,-32,-62,-73,-87,-78,-78,1,2
-80,-64,-66,-50,-68,-68,-100,-100,-76,1,2
-100,-63,-65,-50,-61,-67,-100,-74,-75,1,2
-79,-63,-66,-50,-66,-68,-96,-74,-75,1,2
-80,-62,-65,-50,-67,-65,-93,-77,-74,1,2
-81,-62,-65,-53,-67,-67,-93,-75,-74,1,2
-79,-62,-66,-48,-68,-66,-93,-100,-76,1,2
-79,-62,-77,-42,-60,-73,-92,-80,-85,1,2
-83,-71,-79,-48,-46,-66,-87,-83,-88,1,2
-81,-71,-87,-40,-65,-70,-80,-81,-74,1,2
-100,-65,-75,-36,-78,-72,-87,-100,-78,1,2
-83,-62,-81,-42,-100,-74,-100,-100,-100,1,2
-77,-65,-80,-43,-55,-64,-100,-80,-82,1,2
-78,-75,-87,-44,-47,-83,-89,-80,-82,1,2
-72,-66,-84,-39,-42,-60,-83,-71,-80,1,2
-71,-65,-89,-39,-43,-59,-100,-70,-79,1,2
-84,-65,-91,-39,-43,-60,-86,-66,-79,1,2
-100,-67,-80,-29,-67,-81,-89,-87,-83,1,2
-100,-65,-80,-46,-65,-89,-87,-82,-79,1,2
-100,-67,-78,-47,-100,-100,-100,-100,-77,1,2
-100,-66,-75,-47,-65,-86,-90,-81,-78,1,2
-100,-69,-77,-46,-65,-84,-88,-81,-76,1,2
-100,-66,-79,-48,-65,-84,-100,-93,-78,1,2
-100,-66,-78,-48,-100,-100,-89,-81,-78,1,2
-100,-66,-78,-47,-83,-84,-89,-81,-78,1,2
-100,-78,-85,-42,-64,-78,-100,-100,-80,1,2
-68,-68,-94,-46,-57,-76,-92,-77,-86,1,2
-68,-67,-100,-45,-56,-73,-90,-77,-86,1,2
-67,-67,-100,-45,-100,-73,-92,-100,-86,1,2
-66,-70,-94,-45,-100,-74,-90,-77,-84,1,2
-67,-65,-100,-45,-56,-70,-100,-77,-85,1,2
-65,-73,-100,-44,-56,-70,-89,-75,-85,1,2
-66,-72,-100,-46,-55,-71,-91,-77,-85,1,2
-66,-70,-100,-45,-56,-70,-100,-77,-83,1,2
-66,-72,-100,-46,-57,-71,-92,-77,-83,1,2
-67,-73,-100,-46,-64,-69,-90,-74,-85,1,2
-66,-69,-100,-45,-56,-71,-100,-78,-83,1,2
-67,-66,-91,-47,-54,-69,-91,-100,-85,1,2
-67,-70,-94,-44,-62,-69,-93,-100,-83,1,2
-67,-67,-100,-45,-56,-70,-91,-77,-84,1,2
-67,-66,-100,-46,-58,-70,-91,-78,-84,1,2
-67,-66,-100,-45,-69,-71,-92,-100,-84,1,2
-67,-66,-96,-47,-56,-68,-91,-100,-87,1,2
-66,-70,-100,-48,-55,-68,-100,-75,-83,1,2
-67,-67,-100,-47,-70,-67,-90,-100,-84,1,2
-67,-74,-100,-46,-72,-73,-92,-100,-83,1,2
-82,-59,-72,-38,-67,-77,-100,-82,-90,1,2
-100,-56,-71,-40,-69,-75,-90,-80,-88,1,2
-100,-57,-72,-40,-68,-78,-100,-77,-89,1,2
-75,-70,-82,-47,-62,-72,-93,-100,-87,1,2
-100,-60,-81,-44,-57,-64,-89,-75,-79,1,2
-79,-60,-77,-40,-57,-64,-91,-80,-80,1,2
-100,-60,-79,-44,-58,-64,-100,-77,-81,1,2
-100,-61,-100,-44,-59,-64,-100,-86,-84,1,2
-100,-59,-77,-44,-58,-64,-85,-100,-84,1,2
-81,-76,-84,-41,-63,-77,-100,-100,-88,1,2
-82,-79,-90,-41,-64,-83,-100,-100,-89,1,2
-100,-75,-83,-41,-63,-79,-97,-100,-89,1,2
-100,-74,-83,-40,-65,-87,-92,-100,-89,1,2
-80,-78,-83,-41,-63,-78,-100,-82,-88,1,2
-100,-78,-84,-41,-65,-76,-92,-100,-88,1,2
-80,-75,-83,-41,-64,-78,-100,-82,-87,1,2
-80,-78,-83,-41,-63,-79,-100,-100,-89,1,2
-100,-78,-85,-41,-64,-78,-100,-82,-88,1,2
-100,-77,-84,-41,-66,-79,-100,-100,-90,1,2
-100,-77,-85,-41,-66,-78,-95,-100,-100,1,2
-100,-80,-84,-41,-67,-78,-100,-100,-89,1,2
-100,-76,-82,-41,-64,-78,-100,-100,-90,1,2
-80,-76,-84,-41,-66,-100,-100,-100,-91,1,2
-80,-78,-83,-41,-64,-100,-100,-100,-92,1,2
-100,-76,-84,-41,-63,-80,-100,-83,-88,1,2
-93,-76,-84,-41,-65,-84,-100,-100,-88,1,2
-100,-78,-84,-41,-63,-78,-100,-100,-89,1,2
-100,-77,-100,-41,-63,-78,-100,-91,-87,1,2
-100,-76,-83,-41,-62,-100,-100,-100,-90,1,2
-80,-77,-83,-41,-63,-77,-100,-100,-88,1,2
-100,-76,-84,-41,-65,-77,-100,-100,-88,1,2
-100,-76,-83,-41,-63,-77,-100,-100,-88,1,2
-81,-77,-83,-41,-64,-77,-100,-100,-88,1,2
-81,-76,-83,-41,-64,-79,-100,-100,-89,1,2
-92,-81,-83,-41,-63,-83,-100,-100,-89,1,2
-100,-78,-83,-41,-67,-100,-100,-100,-91,1,2
-80,-76,-84,-41,-64,-77,-100,-100,-100,1,2
-100,-76,-84,-41,-64,-77,-100,-100,-89,1,2
-82,-76,-88,-41,-64,-78,-100,-100,-100,1,2
-100,-76,-83,-41,-63,-77,-100,-100,-100,1,2
-100,-100,-100,-58,-37,-58,-100,-64,-100,1,2
-69,-69,-86,-40,-63,-70,-92,-76,-89,1,2
-100,-73,-77,-42,-62,-73,-100,-82,-79,1,2
-100,-66,-74,-26,-69,-100,-81,-73,-76,1,2
-85,-69,-85,-51,-64,-75,-100,-100,-78,1,2
-82,-68,-80,-39,-58,-63,-87,-100,-91,1,2
-100,-69,-80,-37,-70,-77,-100,-100,-100,1,2
-77,-65,-89,-33,-65,-80,-91,-100,-85,1,2
-84,-70,-100,-40,-64,-80,-100,-89,-93,1,2
-100,-67,-85,-42,-74,-76,-91,-100,-94,1,2
-100,-72,-84,-32,-68,-78,-100,-100,-89,1,2
-80,-68,-81,-41,-62,-73,-100,-100,-89,1,2
-100,-69,-92,-48,-67,-54,-100,-100,-91,1,2
-78,-67,-77,-33,-71,-74,-85,-86,-84,1,2
-100,-63,-70,-29,-63,-72,-77,-100,-84,1,2
-87,-62,-73,-29,-63,-73,-81,-82,-87,1,2
-100,-63,-73,-29,-65,-73,-79,-77,-86,1,2
-83,-63,-72,-29,-63,-71,-76,-76,-90,1,2
-84,-62,-73,-29,-63,-69,-78,-77,-86,1,2
-84,-62,-73,-29,-66,-72,-100,-78,-94,1,2
-85,-61,-85,-29,-63,-72,-77,-72,-88,1,2
-86,-66,-74,-29,-63,-69,-79,-78,-82,1,2
-85,-67,-74,-29,-63,-71,-88,-100,-92,1,2
-84,-62,-76,-29,-62,-71,-83,-79,-83,1,2
